"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkön kulutus Suomessa"
"2010-01-04 10:00:00","2010-01-04 11:00:00","2010-01-04 12:00:00","2010-01-04 13:00:00","12082.0"
"2010-01-04 11:00:00","2010-01-04 12:00:00","2010-01-04 13:00:00","2010-01-04 14:00:00","12031.0"
"2010-01-04 12:00:00","2010-01-04 13:00:00","2010-01-04 14:00:00","2010-01-04 15:00:00","12068.0"
"2010-01-04 13:00:00","2010-01-04 14:00:00","2010-01-04 15:00:00","2010-01-04 16:00:00","12204.0"
"2010-01-04 14:00:00","2010-01-04 15:00:00","2010-01-04 16:00:00","2010-01-04 17:00:00","12417.0"
"2010-01-04 15:00:00","2010-01-04 16:00:00","2010-01-04 17:00:00","2010-01-04 18:00:00","12473.0"
"2010-01-04 16:00:00","2010-01-04 17:00:00","2010-01-04 18:00:00","2010-01-04 19:00:00","12455.0"
"2010-01-04 17:00:00","2010-01-04 18:00:00","2010-01-04 19:00:00","2010-01-04 20:00:00","12498.0"
"2010-01-04 18:00:00","2010-01-04 19:00:00","2010-01-04 20:00:00","2010-01-04 21:00:00","12399.0"
"2010-01-04 19:00:00","2010-01-04 20:00:00","2010-01-04 21:00:00","2010-01-04 22:00:00","12066.0"
"2010-01-04 20:00:00","2010-01-04 21:00:00","2010-01-04 22:00:00","2010-01-04 23:00:00","12448.0"
"2010-01-04 21:00:00","2010-01-04 22:00:00","2010-01-04 23:00:00","2010-01-05 00:00:00","11995.0"
"2010-01-04 22:00:00","2010-01-04 23:00:00","2010-01-05 00:00:00","2010-01-05 01:00:00","11457.0"
"2010-01-04 23:00:00","2010-01-05 00:00:00","2010-01-05 01:00:00","2010-01-05 02:00:00","11035.0"
"2010-01-05 00:00:00","2010-01-05 01:00:00","2010-01-05 02:00:00","2010-01-05 03:00:00","10793.0"
"2010-01-05 01:00:00","2010-01-05 02:00:00","2010-01-05 03:00:00","2010-01-05 04:00:00","10672.0"
"2010-01-05 02:00:00","2010-01-05 03:00:00","2010-01-05 04:00:00","2010-01-05 05:00:00","10740.0"
"2010-01-05 03:00:00","2010-01-05 04:00:00","2010-01-05 05:00:00","2010-01-05 06:00:00","11114.0"
"2010-01-05 04:00:00","2010-01-05 05:00:00","2010-01-05 06:00:00","2010-01-05 07:00:00","11929.0"
"2010-01-05 05:00:00","2010-01-05 06:00:00","2010-01-05 07:00:00","2010-01-05 08:00:00","12296.0"
"2010-01-05 06:00:00","2010-01-05 07:00:00","2010-01-05 08:00:00","2010-01-05 09:00:00","12715.0"
"2010-01-05 07:00:00","2010-01-05 08:00:00","2010-01-05 09:00:00","2010-01-05 10:00:00","12618.0"
